my	ka
my home	ka inn
my love	ka ngaih
my baby	ka nau
my babe	ka ngaihno
my name	ka min
my name is	ka min pen
my workflow	ka nasepzia
now blocking some of my workflow	tun ka nasepzia honkhat hong khat
could you please help me understand	hehpihna tawh ka teltheihna ding nong huhtheih diam
could you help me	nong huhtheih diam
to understand	teltheihna ding
best regards	zahtakna tawh
please	hehpihna tawh
grace	hehpihna
and	tawh
I love you	ken nang hong ngai in
love you	nang hong ngai
love	ngai
you	nang
me	kei
please help me	hehpihna tawh kei hong huh in
help me	kei hong huh in
help	huh
Good morning	Zingsang pha
good	hoih
morning	zingsang
What is your name?	Na min bang hiam?
what is	bang
your name	na min
name	min
How are you?	Dam maw?
How are you?	Na dam hia?
I am fine	kei dam ing e
I am	kei
fine	pha
This is a test	Hih pen sinna hi
this is	hih pen
test	sinna
How old are you?	Nang kum bangzah hita?
What is your age?	Nang kum bangzah phata?
your age	na kum
age	kum
year	kum
how much	bangzah
be sufficient	phata
old	lui
new	thak
Your name is	Na min pen
story	tangthu
word	laimal
